,Rifle_name,count
0,Dassault Rafale,8[1]
1,HAL Tejas,31[2][3]
2,Sukhoi Su-30MKI,259[8][9]
3,Mikoyan MiG-29,53[1][11]
4,Dassault Mirage 2000,37[1]
5,SEPECAT Jaguar,28[1]
6,Mikoyan-Gurevich MiG-21,40[12]
7,Embraer R-99,3[14]
8,Beriev A-50,3[14]
9,Boeing 707,1[14]
10,Global 5000,2[14]
11,Gulfstream III,3[14]
12,Gulfstream G100,2[14]
13,Ilyushin Il-78,6[14]
14,Boeing 777,2[20]
15,Boeing 737,3[21]
16,Embraer Legacy 600,4[22]
17,Boeing C-17,11[14]
18,Ilyushin Il-76,17[14]
19,C-130J Super Hercules,12[14]
20,Airbus A321,4[14]
21,Antonov An-32,103[14]
22,EADS CASA C-295,5[25]
23,Hawker Siddeley HS 748,57[14]
24,Dornier Do 228,58[14]
25,Boeing AH-64,22[14]
26,Mil Mi-24,15[14]
27,HAL Prachand,10[28]
28,HAL Rudra,16
29,CH-47 Chinook,15[14]
30,Mil Mi-17,222[14]
31,HAL Dhruv,95[14]
32,HAL Light Utility Helicopter,
33,Alouette III,77[14]
34,SA 315B Lama,18[14]
35,BAE Hawk,"101
[14][34]"
36,HAL Kiran,77[14]
37,HAL HTT-40,
38,Pilatus PC-7,75[14]
39,Pipistrel Virus,72[35]
40,IAI Heron,47[36]
41,IAI Heron Mk 2,4[38][39]
42,MQ-9 Reaper,8 on order
43,IAI Searcher,
44,ALS-50,100[42]
45,Kadet Loitering Aerial Munition,50+ on order
