Movie_name,release_year,rating,grade,types
The Shawshank Redemption,1994,9.3,A,Drama
The Godfather,1972,9.2,A,Crime
The Dark Knight,2008,9,UA,Action
The Godfather: Part II,1974,9,A,Crime
12 Angry Men,1957,9,U,Crime
The Lord of the Rings: The Return of the King,2003,9,U,Action
Schindler's List,1993,9,A,Biography
Pulp Fiction,1994,8.9,A,Crime
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,U,Action
"Il Buono, Il Brutto, Il Cattivo",1966,8.8,A,Adventure
Forrest Gump,1994,8.8,UA,Drama
The Lord of the Rings: The Two Towers,2002,8.8,UA,Action
Fight Club,1999,8.8,A,Drama
Inception,2010,8.8,UA,Action
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,UA,Action
The Matrix,1999,8.7,A,Action
GoodFellas,1990,8.7,A,Biography
One Flew Over the Cuckoo's Nest,1975,8.7,A,Drama
Interstellar,2014,8.7,UA,Adventure
Se7en,1995,8.6,A,Crime
It's a Wonderful Life,1946,8.6,PG,Drama
Shichinin No Samurai,1954,8.6,U,Action
The Silence of the Lambs,1991,8.6,A,Crime
Saving Private Ryan,1998,8.6,A,Drama
City of God,2002,8.6,A,Crime
Life Is Beautiful,1997,8.6,U,Comedy
The Green Mile,1999,8.6,UA,Crime
Terminator 2: Judgment Day,1991,8.6,A,Action
Star Wars: Episode IV - A New Hope,1977,8.6,U,Action
Back to the Future,1985,8.5,U,Adventure
Spirited Away,2001,8.6,U,Animation
The Pianist,2002,8.5,13,Biography
Parasite,2019,8.5,A,Drama
Psycho,1960,8.5,A,Horror
Gladiator,2000,8.5,UA,Action
The Lion King,1994,8.5,U,Animation
Spider-man: Across the Spider-verse,2023,8.6,U,Animation
The Departed,2006,8.5,A,Crime
Whiplash,2014,8.5,A,Drama
Grave of the Fireflies,1988,8.5,U,Animation
American History X,1998,8.5,R,Crime
Léon,1994,8.5,A,Action
The Prestige,2006,8.5,U,Drama
Seppuku,1962,8.6,Not Rated,Action
The Usual Suspects,1995,8.5,A,Crime
Casablanca,1942,8.5,U,Drama
Dune: Part Two,2024,8.5,UA,Action
Intouchables,2011,8.5,UA,Comedy
Cinema Paradiso,1988,8.5,U,Drama
Modern Times,1936,8.5,G,Comedy
Alien,1979,8.5,R,Horror
Rear Window,1954,8.5,U,Mystery
C'era Una Volta Il West,1968,8.5,U,Drama
Django Unchained,2012,8.5,A,Comedy
City Lights,1931,8.5,G,Comedy
Apocalypse Now,1979,8.4,R,Drama
Memento,2000,8.4,UA,Mystery
WALL·E,2008,8.4,U,Animation
Raiders of the Lost Ark,1981,8.4,A,Action
12th Fail,2023,8.8,na,Biography
Das Leben der Anderen,2006,8.4,A,Drama
Sunset Blvd.,1950,8.4,Approved,Drama
Avengers: Infinity War,2018,8.4,UA,Action
Paths of Glory,1957,8.4,A,Drama
Spider-Man: Into the Spider-Verse,2018,8.4,U,Animation
Witness for the Prosecution,1957,8.4,U,Crime
The Shining,1980,8.4,A,Drama
The Great Dictator,1940,8.4,G,Comedy
Alien 2,1986,8.4,U,Action
Inglourious Basterds,2009,8.4,A,Adventure
The Dark Knight Rises,2012,8.4,UA,Action
Coco,2017,8.4,U,Animation
Amadeus,1984,8.4,PG,Biography
Toy Story,1995,8.3,U,Animation
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,PG,Comedy
Oldeuboi,2003,8.3,A,Action
American Beauty,1999,8.3,UA,Drama
Avengers: Endgame,2019,8.4,UA,Action
Das Boot,1981,8.4,na,Drama
Braveheart,1995,8.3,A,Biography
Good Will Hunting,1997,8.3,U,Drama
Mononoke-hime,1997,8.3,U,Animation
